timestamp,EAR,eye_closure_duration,yaw,pitch,phone_detected,phone_confidence,driver_state
2026-09-13T19:36:33.994667,0.2562,0.0,8.698,-6.424,1,0.864,Phone_Usage
2026-09-13T19:36:35.284252,0.2767,0.0,9.316,-21.356,1,0.401,Phone_Usage
2026-09-13T19:36:37.896811,0.1972,0.0,-18.884,-6.87,0,0.0,Phone_Usage
2026-09-13T19:36:39.187529,0.1825,1.291,-13.775,-11.59,1,0.63,Phone_Usage
2026-09-13T19:36:40.492349,0.2453,0.0,-13.919,-10.205,1,0.598,Phone_Usage
2026-09-13T19:36:41.789375,0.2016,0.762,-9.956,-12.724,1,0.656,Phone_Usage
2026-09-13T19:36:43.106896,0.2235,2.079,-12.333,-2.033,1,0.645,Phone_Usage
2026-09-13T19:36:44.421535,0.2524,0.0,-8.166,-7.933,1,0.483,Phone_Usage
2026-09-13T19:36:45.706350,0.2499,1.026,1.896,-4.963,1,0.621,Phone_Usage
2026-09-13T19:36:47.000934,0.2511,0.0,0.702,-4.647,1,0.77,Phone_Usage
2026-09-13T19:36:48.278581,0.2476,0.266,0.519,-3.064,1,0.725,Phone_Usage
2026-09-13T19:36:49.585882,0.2122,0.532,10.087,-12.659,0,0.0,Phone_Usage
2026-09-13T19:36:50.902644,0.3057,0.0,27.945,-26.925,0,0.0,Phone_Usage
2026-09-13T19:36:52.204665,0.3008,0.0,26.823,-24.107,0,0.0,Phone_Usage
2026-09-13T19:36:53.519411,0.2488,0.0,24.58,-22.189,0,0.0,Phone_Usage
2026-09-13T19:36:54.821655,0.2704,0.0,16.767,-11.47,0,0.0,Phone_Usage
2026-09-13T19:36:56.124951,0.2681,0.0,17.701,-8.556,0,0.0,Phone_Usage
2026-09-13T19:36:57.399251,0.2451,0.776,13.935,-10.732,0,0.0,Phone_Usage
2026-09-13T19:36:58.700375,0.2601,0.0,14.247,-9.376,1,0.399,Phone_Usage
2026-09-13T19:36:59.987268,0.1989,1.02,13.956,-10.468,0,0.0,Phone_Usage
2026-09-13T19:37:01.321436,0.2724,0.0,16.192,-7.162,0,0.0,Phone_Usage
2026-09-13T19:37:02.590826,0.2643,0.0,17.606,-4.184,0,0.0,Phone_Usage
2026-09-13T19:37:03.898498,0.2631,0.0,14.34,-3.399,0,0.0,Phone_Usage
2026-09-13T19:37:05.185981,0.3102,0.0,13.162,12.616,0,0.0,Phone_Usage
2026-09-13T19:37:12.335037,0.2707,0.0,11.344,1.975,0,0.0,Phone_Usage
2026-09-13T19:37:13.628064,0.2835,0.0,7.818,5.728,1,0.503,Phone_Usage
2026-09-13T19:37:14.966505,0.2859,0.0,9.694,-6.711,0,0.0,Phone_Usage
2026-09-13T19:37:16.261181,0.2687,0.0,0.35,-6.383,0,0.0,Phone_Usage
2026-09-13T19:37:18.831431,0.2858,0.0,4.674,-4.136,0,0.0,Phone_Usage
2026-09-13T19:37:21.351888,0.2407,0.0,0.654,-2.943,0,0.0,Phone_Usage
2026-09-13T19:37:22.624096,0.1948,1.272,0.884,-3.349,0,0.0,Phone_Usage
2026-09-13T19:38:02.089958,0.2842,0.0,21.678,-9.727,0,0.0,Alert
2026-09-13T19:38:03.370864,0.3793,0.0,38.842,-14.261,0,0.0,Alert
2026-09-13T19:38:04.658943,0.3954,0.0,43.794,-14.115,0,0.0,Alert
2026-09-13T19:38:05.938136,0.4275,0.0,46.676,-16.027,0,0.0,Alert
2026-09-13T19:38:09.735900,0.2554,0.0,45.452,-14.842,0,0.0,Alert
2026-09-13T19:38:11.028437,0.4368,0.0,40.698,-5.268,0,0.0,Alert
2026-09-13T19:38:12.326799,0.3372,0.0,29.093,-3.969,0,0.0,Alert
2026-09-13T19:38:13.609965,0.4154,0.0,42.021,-4.998,0,0.0,Alert
2026-09-13T19:38:14.858040,0.4592,0.0,44.238,-4.143,0,0.0,Alert
2026-09-13T19:38:16.111381,0.3566,0.0,31.631,-10.838,0,0.0,Alert
2026-09-13T19:38:17.375798,0.2435,0.253,11.533,-7.995,0,0.0,Alert
2026-09-13T19:38:18.641772,0.536,0.0,-46.087,0.553,0,0.0,Alert
2026-09-13T19:38:21.189865,0.3416,0.0,-49.171,-5.804,0,0.0,Alert
2026-09-13T19:38:22.456637,0.4327,0.0,-42.561,-8.523,0,0.0,Alert
2026-09-13T19:38:23.705370,0.3105,0.0,-36.147,-11.181,0,0.0,Alert
2026-09-13T19:38:24.965627,0.0778,0.0,-9.818,17.37,0,0.0,Alert
2026-09-13T19:38:26.328907,0.1435,1.363,-0.174,28.951,0,0.0,Alert
2026-09-13T19:38:27.834886,0.175,2.869,-1.107,31.113,0,0.0,Alert
2026-09-13T19:38:29.299895,0.2335,0.276,-0.265,-0.394,0,0.0,Alert
2026-09-13T19:38:30.661737,0.1983,1.638,-0.218,3.784,0,0.0,Alert
2026-09-13T19:38:32.009111,0.1945,2.985,-1.353,27.492,0,0.0,Alert
2026-09-13T19:38:33.386512,0.1323,4.362,2.333,-11.776,0,0.0,Alert
2026-09-13T19:38:34.763022,0.2376,0.0,1.637,-7.303,0,0.0,Alert
2026-09-13T19:38:36.122687,0.1231,1.36,-1.02,-12.16,0,0.0,Alert
2026-09-13T19:38:37.458328,0.1217,0.8,0.954,2.426,0,0.0,Alert
2026-09-13T19:38:38.794674,0.21,2.137,0.072,2.06,0,0.0,Alert
2026-09-13T19:38:40.158140,0.1874,0.303,0.428,1.803,0,0.0,Alert
2026-09-13T19:38:41.563989,0.1557,1.709,0.956,5.016,0,0.0,Alert
2026-09-13T19:38:43.071262,0.239,3.216,21.651,14.009,0,0.0,Alert
2026-09-13T19:38:44.404518,0.2155,4.55,22.529,15.15,0,0.0,Alert
2026-09-13T19:38:45.730344,0.2754,0.0,22.054,13.923,0,0.0,Alert
2026-09-13T19:38:47.086742,0.2083,0.819,-20.874,18.505,0,0.0,Alert
2026-09-13T19:38:48.421374,0.2172,2.154,-23.278,17.071,0,0.0,Alert
2026-09-13T19:38:49.748532,0.2701,0.0,13.522,-8.14,0,0.0,Alert
2026-09-13T19:38:51.106018,0.2104,0.0,4.467,-22.924,0,0.0,Alert
2026-09-13T19:38:52.484807,0.2238,0.0,-5.078,-20.039,0,0.0,Alert
2026-09-13T19:38:53.863891,0.282,0.0,-10.344,-12.54,0,0.0,Alert
2026-09-13T19:38:55.254243,0.2331,0.0,-1.318,-6.944,0,0.0,Alert
2026-09-13T19:38:56.591509,0.1439,1.337,-0.281,-6.081,0,0.0,Alert
2026-09-13T19:38:57.895830,0.226,0.0,4.991,-16.974,1,0.607,Alert
2026-09-13T19:38:59.183674,0.2502,0.0,6.163,-13.497,0,0.0,Alert
2026-09-13T19:39:00.481442,0.2558,0.0,7.572,-11.484,1,0.371,Alert
2026-09-13T19:39:01.775374,0.2491,1.048,3.821,-15.449,0,0.0,Alert
2026-09-13T19:39:03.073095,0.2535,0.0,4.36,-11.223,0,0.0,Alert
2026-09-13T19:39:04.359319,0.2506,0.0,4.987,-10.107,0,0.0,Alert
2026-09-13T19:39:05.655881,0.2407,0.248,7.783,-9.935,0,0.0,Alert
2026-09-13T19:39:06.955306,0.2543,0.0,8.683,-7.544,0,0.0,Alert
2026-09-13T19:39:08.214843,0.2646,0.0,11.699,-11.253,0,0.0,Alert
2026-09-13T19:39:09.511495,0.2575,0.0,11.807,-10.194,0,0.0,Alert
2026-09-13T19:39:10.810594,0.2546,0.0,12.104,-9.0,0,0.0,Alert
2026-09-13T19:39:12.123448,0.2599,0.0,11.442,-6.759,0,0.0,Alert
2026-09-13T19:39:13.410083,0.237,0.761,-3.57,-4.064,0,0.0,Alert
2026-09-13T19:39:14.824043,0.2459,0.0,-9.449,-4.954,1,0.341,Alert
2026-09-13T19:39:16.128286,0.2683,0.0,-5.46,6.902,1,0.396,Alert
2026-09-13T19:39:17.417291,0.2582,0.0,-6.762,2.741,0,0.0,Alert
2026-09-13T19:39:18.713364,0.2458,0.26,-8.904,-4.381,0,0.0,Alert
2026-09-13T19:39:20.007202,0.1738,1.553,2.906,-12.156,1,0.556,Alert
2026-09-13T19:39:21.304661,0.1768,2.851,0.142,-16.649,1,0.615,Alert
2026-09-13T19:39:22.592169,0.1584,4.138,2.324,-11.315,1,0.672,Alert
2026-09-13T19:58:27.802653,0.2568,0.0,-3.743,-3.597,0,0.0,Alert
2026-09-13T19:58:29.067632,0.2543,0.0,-2.1,-2.164,0,0.0,Alert
2026-09-13T19:58:30.388162,0.0733,0.524,-2.176,6.781,0,0.0,Alert
2026-09-13T19:58:32.184377,0.2628,0.0,0.022,-2.821,0,0.0,Drowsy
2026-09-13T19:58:33.589355,0.0755,0.519,-0.992,5.731,0,0.0,Drowsy
2026-09-13T19:58:34.875585,0.0619,1.805,-0.748,-3.726,0,0.0,Drowsy
2026-09-13T19:58:36.147260,0.1503,3.077,-1.111,0.162,0,0.0,Drowsy
2026-09-13T19:58:37.479578,0.195,4.409,-0.759,-3.111,0,0.0,Drowsy
2026-09-13T19:58:38.755298,0.2353,5.685,-1.26,-3.507,0,0.0,Drowsy
2026-09-13T19:58:40.052828,0.1348,0.773,-1.025,15.591,0,0.0,Drowsy
2026-09-13T19:58:41.373025,0.218,2.093,-0.579,7.048,0,0.0,Drowsy
2026-09-13T19:58:42.666611,0.0479,3.387,-1.989,4.062,0,0.0,Drowsy
2026-09-13T19:58:43.943798,0.0749,4.664,-1.794,-10.581,0,0.0,Drowsy
2026-09-13T19:58:45.305540,0.0628,6.026,-1.622,-3.294,0,0.0,Drowsy
2026-09-13T19:58:46.692548,0.0528,7.413,-2.447,-6.207,0,0.0,Drowsy
2026-09-13T19:58:48.013954,0.2081,8.734,-1.342,-5.021,0,0.0,Drowsy
2026-09-13T19:58:49.318964,0.0644,10.039,-1.172,5.007,0,0.0,Drowsy
2026-09-13T19:58:50.640087,0.1,11.36,-0.698,3.901,0,0.0,Drowsy
2026-09-13T19:58:51.916703,0.2401,12.637,-0.633,-10.744,0,0.0,Drowsy
2026-09-13T19:58:53.243969,0.0693,13.964,-1.045,2.629,0,0.0,Drowsy
2026-09-13T19:58:54.579090,0.2589,0.0,-1.431,6.828,0,0.0,Drowsy
2026-09-13T19:58:55.871190,0.321,0.0,-2.629,11.765,0,0.0,Drowsy
2026-09-13T19:58:57.162593,0.2438,0.513,-3.82,-6.427,0,0.0,Drowsy
2026-09-13T19:58:58.483171,0.0951,0.271,-2.683,2.799,0,0.0,Drowsy
2026-09-13T19:58:59.780266,0.0744,1.568,-2.714,-0.869,0,0.0,Drowsy
2026-09-13T19:59:01.113066,0.2395,2.901,-2.149,-3.195,0,0.0,Drowsy
2026-09-13T19:59:02.409974,0.2593,0.0,-1.349,-0.02,0,0.0,Drowsy
2026-09-13T19:59:03.703475,0.0643,1.04,0.201,9.049,0,0.0,Drowsy
2026-09-13T19:59:05.004384,0.0784,2.341,0.344,6.987,0,0.0,Drowsy
2026-09-13T19:59:06.299389,0.2448,0.256,-2.073,2.478,0,0.0,Drowsy
2026-09-13T19:59:07.608287,0.0888,1.564,-1.694,2.962,0,0.0,Drowsy
2026-09-13T19:59:08.905744,0.1964,2.862,-0.876,-2.861,0,0.0,Drowsy
2026-09-13T19:59:10.243527,0.0562,0.274,-0.762,-2.389,0,0.0,Drowsy
2026-09-13T19:59:11.515377,0.0409,1.546,-2.165,1.598,0,0.0,Drowsy
2026-09-13T19:59:12.821121,0.1024,2.851,0.085,2.524,0,0.0,Drowsy
2026-09-13T19:59:14.140108,0.0876,4.17,0.005,-9.045,0,0.0,Drowsy
2026-09-13T19:59:15.403797,0.1116,5.434,-0.73,-8.799,0,0.0,Drowsy
2026-09-13T19:59:16.690339,0.0702,6.721,-0.567,3.508,0,0.0,Drowsy
2026-09-13T19:59:17.993469,0.1031,8.024,-0.439,-2.418,0,0.0,Drowsy
