timestamp,EAR,eye_closure_duration,yaw,pitch,roll,abs_yaw,abs_pitch,head_movement,phone_detected,phone_confidence,driver_state,Drowsy_Event,Distracted_Event,Phone_Usage_Event,Alert_Event
2026-09-13T20:15:53.474487,0.3691,0.0,46.304,1.241,-11.816,46.304,1.241,20.862,1,0.33,Distracted,0,1,0,0
2026-09-13T20:16:09.042472,2.2278,0.0,-62.028,17.863,13.922,62.028,17.863,41.981,0,0.0,Distracted,0,1,0,0
2026-09-13T20:16:14.211487,0.203,2.845,-8.731,18.426,4.516,8.731,18.426,24.529,0,0.0,Distracted,0,1,0,0
2026-09-13T20:16:19.191440,0.3195,0.0,0.854,20.067,-11.34,0.854,20.067,3.115,0,0.0,Distracted,0,1,0,0
2026-09-13T20:16:20.511041,0.2269,0.531,-0.928,23.669,-7.969,0.928,23.669,7.239,0,0.0,Distracted,0,1,0,0
2026-09-13T20:16:23.027115,0.2175,3.047,7.998,-17.878,-11.762,7.998,17.878,19.125,0,0.0,Distracted,0,1,0,0
2026-09-13T20:16:24.293838,0.18,0.0,-6.269,25.709,-10.962,6.269,25.709,7.485,0,0.0,Distracted,0,1,0,0
2026-09-13T20:16:28.094282,0.3216,0.0,1.094,11.443,-6.134,1.094,11.443,5.359,0,0.0,Distracted,0,1,0,0
2026-09-13T20:16:29.414984,0.2049,0.544,5.27,-47.63,8.953,5.27,47.63,6.115,0,0.0,Distracted,0,1,0,0
2026-09-13T20:16:30.718862,0.1331,0.0,11.843,-46.228,-5.805,11.843,46.228,52.867,0,0.0,Distracted,0,1,0,0
2026-09-13T20:16:34.644406,0.2613,0.0,-30.042,15.024,-9.94,30.042,15.024,8.581,0,0.0,Distracted,0,1,0,0
2026-09-13T20:16:39.831599,0.3161,0.0,-37.836,3.292,6.076,37.836,3.292,23.258,0,0.0,Distracted,0,1,0,0
2026-09-13T20:16:41.142021,0.2478,0.0,21.841,-0.551,-8.326,21.841,0.551,13.971,0,0.0,Distracted,0,1,0,0
2026-09-13T20:16:42.456612,0.2641,0.0,11.517,-11.4,-5.36,11.517,11.4,3.714,0,0.0,Phone_Usage,0,0,1,0
2026-09-13T20:16:43.768559,0.2659,0.0,4.06,-3.252,-0.761,4.06,3.252,6.635,0,0.0,Phone_Usage,0,0,1,0
2026-09-13T20:16:45.076125,0.2671,0.0,1.681,-9.5,6.397,1.681,9.5,4.169,1,0.501,Phone_Usage,0,0,1,0
2026-09-13T20:16:46.370550,0.2873,0.0,4.311,-10.746,3.717,4.311,10.746,1.982,1,0.489,Phone_Usage,0,0,1,0
2026-09-13T20:16:47.665724,0.2621,0.0,4.682,-6.362,-2.718,4.682,6.362,1.338,0,0.0,Phone_Usage,0,0,1,0
2026-09-13T20:16:48.949401,0.2573,0.0,4.751,-3.723,-3.527,4.751,3.723,0.9,1,0.441,Phone_Usage,0,0,1,0
2026-09-13T20:16:50.268902,0.2514,0.0,4.92,-0.659,-0.636,4.92,0.659,1.34,1,0.805,Phone_Usage,0,0,1,0
2026-09-13T20:16:51.605442,0.2819,0.0,3.867,1.643,-0.138,3.867,1.643,1.2,1,0.925,Phone_Usage,0,0,1,0
2026-09-13T20:16:52.911699,0.2856,0.0,3.685,1.591,-0.389,3.685,1.591,0.268,0,0.0,Phone_Usage,0,0,1,0
2026-09-13T20:16:54.197305,0.2707,0.0,3.349,3.877,-0.176,3.349,3.877,1.269,1,0.34,Phone_Usage,0,0,1,0
2026-09-13T20:16:55.511895,0.2497,0.258,-10.878,-12.358,5.549,10.878,12.358,4.067,0,0.0,Phone_Usage,0,0,1,0
2026-09-13T20:16:56.833588,0.276,0.0,-9.161,-5.89,4.944,9.161,5.89,0.382,0,0.0,Phone_Usage,0,0,1,0
2026-09-13T20:16:58.126678,0.3033,0.0,-17.431,-3.931,6.811,17.431,3.931,5.442,1,0.629,Phone_Usage,0,0,1,0
2026-09-13T20:16:59.398213,0.2939,0.0,-16.703,-0.46,7.897,16.703,0.46,22.38,0,0.0,Phone_Usage,0,0,1,0
2026-09-13T20:17:00.797038,0.3082,0.0,-16.241,0.345,6.648,16.241,0.345,16.71,0,0.0,Phone_Usage,0,0,1,0
2026-09-13T20:17:04.630520,0.1002,0.0,-8.793,0.428,4.259,8.793,0.428,9.249,0,0.0,Phone_Usage,0,0,1,0
2026-09-13T20:17:05.917391,0.2491,0.0,-4.52,1.668,4.163,4.52,1.668,4.642,1,0.383,Phone_Usage,0,0,1,0
2026-09-13T20:17:07.190873,0.2873,0.0,-3.477,5.044,5.421,3.477,5.044,1.91,0,0.0,Phone_Usage,0,0,1,0
2026-09-13T20:17:08.504090,0.2888,0.0,-2.698,4.643,5.1,2.698,4.643,1.659,0,0.0,Phone_Usage,0,0,1,0
2026-09-13T20:17:09.801383,0.2706,0.0,-12.165,-0.214,14.183,12.165,0.214,5.028,1,0.323,Phone_Usage,0,0,1,0
2026-09-13T20:17:11.082089,0.2798,0.0,-6.642,1.481,13.099,6.642,1.481,1.802,1,0.482,Phone_Usage,0,0,1,0
2026-09-13T20:17:12.392635,0.2779,0.0,-8.552,1.087,14.019,8.552,1.087,0.835,0,0.0,Phone_Usage,0,0,1,0
2026-09-13T20:17:13.699648,0.2831,0.0,-9.061,0.116,13.375,9.061,0.116,0.786,0,0.0,Phone_Usage,0,0,1,0
2026-09-13T20:17:14.992745,0.2914,0.0,-6.362,1.47,13.241,6.362,1.47,1.345,1,0.491,Phone_Usage,0,0,1,0
2026-09-13T20:17:17.606232,0.2621,0.0,11.656,-3.855,-15.559,11.656,3.855,2.31,1,0.463,Phone_Usage,0,0,1,0
